region,liters,tx,price,n,liters_30,tx_30,month,liters_index
54,57332.0,1520,66.58,662,108.25528700906345,2.8700906344410875,5,103.05663995232634
55,22981.93,628,65.32,284,101.15286091549295,2.764084507042254,5,103.96338660926511
63,25802.87,728,66.49,266,121.25408834586466,3.4210526315789473,5,102.28576923979523
66,114017.72,3286,67.6,1479,96.36386071670047,2.7772143340094657,5,102.26088430222242
72,21917.0,580,67.98,261,104.96647509578544,2.777777777777778,5,103.3412069491009
74,63518.79,1854,65.4,775,102.44966129032258,2.990322580645161,5,102.76204464642906
77,307363.77999999997,7637,70.55,3161,121.54531002847199,3.02000949066751,5,105.83247817225094
78,144992.01,3735,69.56,1799,100.7448652028905,2.5951917732073375,5,92.30464447053505
2,11024.119999999999,330,65.65,180,61.24511111111111,1.8333333333333333,6,56.11521411253768
16,97536.91,2794,66.35,1031,94.60418040737149,2.7099903006789523,6,87.10982088513849
23,32367.78,834,70.95,360,89.9105,2.316666666666667,6,76.11832472700642
24,44076.479999999996,1181,68.16499999999999,455,96.87138461538461,2.5956043956043957,6,108.31991923525142
42,45403.28,1273,66.41,402,112.94348258706468,3.1666666666666665,6,112.37748583193058
47,50219.159999999996,1366,69.62,519,96.76138728323699,2.631984585741811,6,87.57202754083447
50,183749.85,4928,70.14,2060,89.19895631067962,2.392233009708738,6,78.03811218878589
52,67230.67,1890,69.27,743,90.48542395693136,2.5437415881561236,6,84.06550116506396
54,76641.95,2103,67.04,662,115.77333836858006,3.176737160120846,6,110.21365863942228
55,28620.29,799,65.7,284,100.77566901408451,2.813380281690141,6,103.57571445528846
63,20381.9,582,66.91,266,76.62368421052632,2.18796992481203,6,64.63709874346792
66,139814.23,3998,68.0,1479,94.53294793779581,2.7031778228532795,6,100.3179281103626
72,25959.75,718,68.49,261,99.46264367816092,2.7509578544061304,6,97.92259513973342
74,79793.37,2336,65.98,775,102.95918709677419,3.0141935483870967,6,103.27312406837765
77,285793.98,7408,71.1,3161,90.4125213540019,2.343562163872192,6,78.7243966094137
78,180039.08,4839,69.99,1799,100.07730961645358,2.689827682045581,6,91.69301547141649
2,4977.03,165,67.4,180,26.75822580645161,0.8870967741935484,7,24.51695397656406
16,54050.75,1724,67.3,1031,50.73441068802603,1.6182222083163855,7,46.71532916110588
23,19521.32,610,71.7,360,52.47666666666667,1.6397849462365592,7,44.426801696400396
24,37661.84,1194,67.59,455,80.10316908897553,2.5395249911378945,7,89.56998850233755
42,40566.29,1314,67.0,402,97.65597014925373,3.163216177178623,7,97.16658412220838
47,40636.38,1301,70.8,519,75.77173223941823,2.4258810367331716,7,68.57574502382734
50,153814.97999999998,5022,71.22,2060,72.25883808330723,2.3592233009708736,7,63.217592965281185
52,44170.03,1429,69.95,743,57.53053879216776,1.8612425650154125,7,53.448758533326895
54,52317.1,1688,67.66,662,76.47953415846408,2.4675957509014714,7,72.80682572880339
55,23053.12,754,66.25,284,78.55447523852794,2.56928668786915,7,80.73710624886704
63,8312.86,275,67.7,266,30.243245209798694,1.0004850836769341,7,25.512159159271047
66,126412.01999999999,4116,68.64,1479,82.71413989399986,2.693188510109272,7,87.77586355454375
72,17044.51,539,68.95,261,63.198034853540975,1.9985168705969596,7,62.219496202159284
74,58712.479999999996,1899,66.9,775,73.31423100936524,2.3712799167533816,7,73.53777636075661
77,240245.28999999998,7762,71.86,3161,73.55123123552163,2.3763406843485626,7,64.04285835835292
78,132425.44999999998,4312,70.9,1799,71.23605408022377,2.3195682189029747,7,65.26802762718081
2,4698.889999999999,141,67.54,180,25.26284946236559,0.7580645161290323,8,23.146830513566744
16,52885.92,1451,68.2,1031,49.64105002972373,1.3619724038672132,8,45.7085824116763
23,18195.44,477,73.07,360,48.912473118279564,1.282258064516129,8,41.40935165545934
24,44960.77,1336,67.64,455,95.6273023750443,2.8415455512229704,8,106.92880783191268
42,41414.79,1209,67.22,402,99.698579682234,2.91044776119403,8,99.19895747031819
47,43221.09,1274,70.9,519,80.59125489464851,2.37553608055193,8,72.93756105961933
50,147160.01,4204,71.85,2060,69.1324819918572,1.9749451926088317,8,60.482416036115026
52,55848.479999999996,1593,70.21,743,72.74147527460599,2.0748491295098335,8,67.58048210457035
54,72691.08,2179,67.77,662,106.26315173959654,3.185362050482409,8,101.1601712174128
55,27029.809999999998,773,66.61,284,92.10521353930031,2.6340299863698315,8,94.66435093630227
63,9353.21,265,84.85,266,34.02817123453795,0.9641038079068639,8,28.704992285457166
66,140827.38999999998,4117,68.92,1479,92.14643067460575,2.693842831904731,8,97.78536700372732
72,21047.59,604,69.58,261,78.04074898034854,2.239525398591027,8,76.83239037494216
74,54883.02,1625,67.31,775,68.53238709677419,2.0291363163371487,8,68.74135193681022
77,251787.26,7099,72.42,3161,77.0848118704779,2.1733628598544765,8,67.119633557094
78,167666.26,4707,70.97,1799,90.19325790313617,2.5320518567663037,8,82.6370315511564
